METRIC_VALUE; Solution number; Total time; Search time; Actions; Duration; Plan quality; Total Num Flips
503.10; 1; 0.06; 0.04; 62; 39.100; 503.100; 101
511.10; 1; 0.03; 0.02; 62; 47.100; 511.100; 83
380.00; 1; 0.04; 0.03; 48; 28.000; 380.000; 68
401.20; 1; 0.03; 0.03; 50; 33.200; 401.200; 74
360.20; 1; 0.08; 0.06; 50; 24.200; 360.200; 123
374.10; 1; 0.03; 0.03; 48; 22.100; 374.100; 69
1044.20; 1; 0.08; 0.08; 122; 100.200; 1044.200; 234
392.10; 1; 0.03; 0.02; 50; 24.100; 392.100; 61
460.20; 1; 0.04; 0.02; 58; 28.200; 460.200; 73
443.20; 1; 0.04; 0.03; 60; 27.200; 443.200; 87
375.00; 1; 0.04; 0.02; 48; 23.000; 375.000; 59
380.00; 1; 0.04; 0.02; 48; 28.000; 380.000; 54
399.10; 1; 0.06; 0.04; 50; 31.100; 399.100; 71
360.00; 1; 0.03; 0.03; 46; 24.000; 360.000; 71
360.00; 1; 0.04; 0.02; 46; 24.000; 360.000; 56
308.10; 1; 0.04; 0.02; 40; 20.100; 308.100; 57
361.10; 1; 0.04; 0.03; 46; 25.100; 361.100; 51
394.10; 1; 0.05; 0.03; 50; 26.100; 394.100; 67
401.10; 1; 0.06; 0.04; 50; 33.100; 401.100; 61
395.10; 1; 0.04; 0.02; 50; 27.100; 395.100; 72
435.00; 1; 0.05; 0.03; 54; 35.000; 435.000; 80
467.10; 1; 0.02; 0.02; 58; 35.100; 467.100; 78
358.10; 1; 0.03; 0.02; 46; 22.100; 358.100; 55
393.00; 1; 0.03; 0.03; 50; 25.000; 393.000; 62
394.10; 1; 0.04; 0.02; 50; 26.100; 394.100; 62
378.10; 1; 0.03; 0.03; 48; 26.100; 378.100; 62
378.10; 1; 0.02; 0.01; 48; 26.100; 378.100; 54
364.20; 1; 0.03; 0.03; 46; 28.200; 364.200; 54
432.20; 1; 0.05; 0.03; 54; 32.200; 432.200; 68
481.10; 1; 0.06; 0.04; 60; 33.100; 481.100; 82
376.20; 1; 0.03; 0.03; 48; 24.200; 376.200; 64
406.10; 1; 0.04; 0.03; 52; 22.100; 406.100; 71
400.00; 1; 0.04; 0.02; 50; 32.000; 400.000; 57
635.30; 1; 0.07; 0.05; 80; 43.300; 635.300; 114
433.00; 1; 0.05; 0.03; 54; 33.000; 433.000; 66
359.00; 1; 0.05; 0.04; 46; 23.000; 359.000; 61
356.10; 1; 0.03; 0.03; 48; 20.100; 356.100; 50
375.10; 1; 0.06; 0.05; 48; 23.100; 375.100; 73
436.00; 1; 0.05; 0.03; 54; 36.000; 436.000; 89
398.00; 1; 0.04; 0.03; 50; 30.000; 398.000; 64
445.10; 1; 0.08; 0.07; 56; 29.100; 445.100; 60
424.10; 1; 0.07; 0.04; 54; 24.100; 424.100; 75
462.10; 1; 0.04; 0.04; 58; 30.100; 462.100; 91
397.10; 1; 0.03; 0.02; 50; 29.100; 397.100; 71
392.10; 1; 0.05; 0.03; 50; 24.100; 392.100; 59
762.10; 1; 0.08; 0.06; 92; 58.100; 762.100; 170
380.00; 1; 0.03; 0.02; 48; 28.000; 380.000; 59
451.10; 1; 0.03; 0.03; 56; 35.100; 451.100; 65
